date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:52	61550/61550	---MCZ	200	added ('OK')	text/html	etag:W/%22585174ae-f06e%22	http://cleanuitemplate.com/package/livepreview/index_material.html	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/livepreview/index_material.html	(from )
17:43:52	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202017%2019:43:53%20GMT	http://cleanuitemplate.com/robots.txt		(from )
17:43:53	10267/10267	---M--	200	added ('OK')	image/png	etag:%225851660e-281b%22	http://cleanuitemplate.com/package/assets/common/img/favicon.144x144.png	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/common/img/favicon.144x144.png	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:53	7875/7875	---M--	200	added ('OK')	image/png	etag:%225851660e-1ec3%22	http://cleanuitemplate.com/package/assets/common/img/favicon.114x114.png	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/common/img/favicon.114x114.png	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:53	4537/4537	---M--	200	added ('OK')	image/png	etag:%225851660f-11b9%22	http://cleanuitemplate.com/package/assets/common/img/favicon.72x72.png	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/common/img/favicon.72x72.png	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:54	3375/3375	---M--	200	added ('OK')	image/png	etag:%225851660f-d2f%22	http://cleanuitemplate.com/package/assets/common/img/favicon.57x57.png	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/common/img/favicon.57x57.png	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:54	1729/1729	---M--	200	added ('OK')	image/png	etag:%225851660f-6c1%22	http://cleanuitemplate.com/package/assets/common/img/favicon.png	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/common/img/favicon.png	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:54	95563/95563	---MCZ	200	added ('OK')	text/css	etag:W/%225851667a-1754b%22	http://cleanuitemplate.com/package/assets/vendors/bootstrap/dist/css/bootstrap.min.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/bootstrap/dist/css/bootstrap.min.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:55	1379/1379	---MCZ	200	added ('OK')	text/css	etag:W/%2258516655-563%22	http://cleanuitemplate.com/package/assets/vendors/jscrollpane/style/jquery.jscrollpane.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/jscrollpane/style/jquery.jscrollpane.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:55	7710/7710	---MCZ	200	added ('OK')	text/css	etag:W/%2258516656-1e1e%22	http://cleanuitemplate.com/package/assets/vendors/ladda/dist/ladda-themeless.min.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/ladda/dist/ladda-themeless.min.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:55	15196/15196	---MCZ	200	added ('OK')	text/css	etag:W/%22585166cb-3b5c%22	http://cleanuitemplate.com/package/assets/vendors/select2/dist/css/select2.min.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/select2/dist/css/select2.min.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:56	7771/7771	---MCZ	200	added ('OK')	text/css	etag:W/%22585166a0-1e5b%22	http://cleanuitemplate.com/package/assets/vendors/eonasdan-bootstrap-datetimepicker/build/css/bootstrap-datetimepicker.min.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/eonasdan-bootstrap-datetimepicker/build/css/bootstrap-datetimepicker.min.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:56	13709/13709	---MCZ	200	added ('OK')	text/css	etag:W/%2258516648-358d%22	http://cleanuitemplate.com/package/assets/vendors/fullcalendar/dist/fullcalendar.min.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/fullcalendar/dist/fullcalendar.min.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:56	19787/19787	---MCZ	200	added ('OK')	text/css	etag:W/%2258516643-4d4b%22	http://cleanuitemplate.com/package/assets/vendors/cleanhtmlaudioplayer/src/player.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/cleanhtmlaudioplayer/src/player.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:43:57	22598/22598	---MCZ	200	added ('OK')	text/css	etag:W/%2258516644-5846%22	http://cleanuitemplate.com/package/assets/vendors/cleanhtmlvideoplayer/src/player.css	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/cleanhtmlvideoplayer/src/player.css	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
